customer_id,name,date_of_birth,address,contact_info,customer_since
58,Mackenzie Phillips,1971-03-01,"577 Robinson Mountain Suite 824, Hannahmouth, UT 59551",001-849-303-4118x1195,2013-04-19
59,Brenda Sanchez,1934-11-13,"4601 Jason Isle Suite 223, Ellisbury, TX 87961",(599)212-0858x89613,2015-09-21
60,Joshua Mejia,1960-03-09,"Unit 3814 Box 4508, DPO AA 28566",303.465.9073x695,2015-10-21
61,Yvonne Guerrero,1936-01-20,"640 Bray Plains Suite 924, South Andrewmouth, MA 02221",001-854-444-6935,2013-06-25
62,Christina Berry,1958-10-02,"129 Kenneth Land Apt. 251, Valentinechester, DC 28230",6335796540,2019-08-11
63,Victoria Stein,1960-09-05,"4539 Kari Forge Apt. 411, New Benjamin, DE 88196",(722)535-7094x084,2008-09-10
64,Jeffrey Page,1936-07-04,"099 Brian Drives Suite 256, Sarahborough, VI 52013",464-305-8904,2008-05-06
65,Austin Mcmahon,1981-12-18,"877 Marshall Square Suite 347, West Nathan, TN 31486",001-969-477-9803x908,2009-04-28
66,Kevin Knox,1973-10-05,"3416 Farley Neck Suite 722, New Dustin, MO 33920",(993)683-1843x5701,2008-11-23
67,Jason Campbell,1968-02-26,"7327 Diamond Avenue Apt. 454, North Leslieville, VA 88003",+1-944-743-1192x9112,2011-07-31
68,Lori Sweeney,1958-09-26,"USS Wade, FPO AA 03369",3543166959,2006-07-28
69,Ricky Floyd,1961-04-01,"2073 Baker Motorway Suite 165, Port Courtneyfurt, VA 09480",897-850-3819x637,2007-09-15
70,Victor Singh,1955-04-18,"264 Lisa Fields Apt. 513, Barrerafort, PW 57265",2472313987,2015-05-03
71,Paul Martinez,1993-03-23,"23359 Sandra View Suite 002, Port Phillipborough, SC 70250",911-372-8246,2023-08-04
72,Laura Weber,1943-11-07,"6904 Samantha Valleys, Grahamside, UT 15633",637-349-1702,2014-11-01
73,Kyle Anderson,1954-01-14,"99492 Stevenson Junctions Apt. 848, New John, HI 00984",638.280.9079,2005-02-26
74,Todd Brown,1993-06-01,"903 Amanda Point, Jennytown, AZ 44691",326-298-5577x135,2007-05-30
75,Christina Gregory,1961-03-05,"12342 Shane Landing, Thompsonhaven, DC 28040",(762)405-9949,2012-05-09
76,Catherine Park,1992-02-05,"624 Collier Stravenue Suite 519, Annafort, NY 13950",+1-678-584-6675x7679,2011-05-28
77,Bonnie Hogan,1954-07-21,"23683 Lawrence Courts Apt. 933, West Kevin, NV 11236",(995)828-7527x65631,2007-07-14
78,Thomas Schultz,1948-07-27,"472 Katelyn Lane, Perezfort, KY 85585",802-378-0534,2007-10-22
79,Michael Zhang,1950-04-05,"3184 Ferguson Mountain Suite 444, South Vincentbury, PR 34620",676-341-2242,2005-04-07
80,David Parker,1961-04-23,"24963 Gamble Shore Apt. 734, New Tonystad, FL 44437",508.387.6633x828,2015-09-28
81,Thomas Curry,1961-05-08,"243 Olsen Coves, North Collin, AZ 14968",690.746.6062x364,2009-04-16
82,Mark Lopez,1969-01-02,"18794 Bird Viaduct, East Sean, CO 51668",279-753-1256,2006-01-06
83,William Schmitt,2002-04-15,"379 Bradley Court, Lake Ernestfort, MD 36413",+1-229-615-0044x276,2009-12-26
84,Matthew Brown,1941-02-14,"8731 Charles Knolls, East Colin, AR 25603",724-685-5450,2021-08-06
85,Heidi Hicks,1977-09-30,"2622 Burton Locks, Carterchester, RI 12556",+1-895-782-9899x847,2006-03-08
86,Meghan Farley,2000-11-28,"5253 Lowe Club, Thorntonview, NV 91018",355.563.1004x26230,2005-06-03
87,Daryl Tanner,1995-07-23,"USCGC Gutierrez, FPO AE 48835",570.344.7977,2012-07-16
88,Angela Parker,2003-09-20,"748 Hines Views Apt. 526, Timothyville, MP 02387",(370)515-1841x163,2005-04-25
89,Richard Daniel,1966-04-05,"961 Ramos Radial, Coxstad, KS 41538",+1-395-690-7202x585,2014-06-30
90,Michael Garcia,1958-03-23,"5410 Crawford Forges, Hollyville, VI 85240",001-457-557-0182,2005-09-15
91,Cameron White,1965-11-21,"48905 Carrillo Hills, Rebeccabury, NE 11497",(290)761-5097,2006-12-30
92,Lisa Clark PhD,1945-07-28,"7026 Melissa Harbors, New Jonhaven, OR 96413",+1-725-280-2595x67138,2016-09-14
93,Michael Kaiser,1979-01-08,"2449 Campbell Squares Suite 951, North Jackberg, LA 71407",257-999-7787,2020-12-23
94,Tonya Collins,1945-08-13,"52899 Jones Throughway, Welchborough, NH 99898",(265)785-3169x83369,2004-08-24
95,George Torres,1960-02-07,"108 Jessica Glens Suite 009, Galvanshire, ME 42195",277.956.1840x441,2023-09-11
96,Bryan Francis,1969-12-12,"Unit 8130 Box 6710, DPO AA 85468",(519)472-5827x7119,2012-06-18
97,Michelle Moody,2002-12-05,"322 Peterson Harbors Apt. 568, Rowechester, NM 36859",(647)797-6267,2005-05-12
98,Alicia Brown,1970-12-28,"729 Lisa Drives Apt. 772, Lake Michael, WY 31380",4815691393,2011-03-18
99,Deanna Johnson,1997-07-26,"4289 Wade Parkway Apt. 620, Brianport, AL 46322",732-752-9323,2015-03-04
100,Sonya Neal,1938-06-26,"PSC 7598, Box 9984, APO AA 30212",+1-819-699-1710x8838,2009-10-31
